year,state,genre,event_count
2022,MD,jazz fusion,2
2022,MD,psychedelic,1
2022,MD,punk,1
2022,MD,r&b,1
2022,MD,singer-songwriter,2
2022,MD,unknown,3
2022,ME,americana,1
2022,ME,black metal,1
2022,ME,bluegrass,1
2022,ME,country,1
2022,ME,east coast hip hop,1
2022,ME,experimental,1
2022,ME,folk,1
2022,ME,garage rock,1
2022,ME,hardcore punk,1
2022,ME,hip-hop,1
2022,ME,indie rock,2
2022,ME,jam band,1
2022,ME,psychedelic,1
2022,ME,rap,1
2022,ME,rock,1
2022,ME,rock music,2
2022,ME,swing revival,1
2022,ME,trip hop,1
2022,MI,alternative rock,5
2022,MI,blues,2
2022,MI,comedy,1
2022,MI,country,1
2022,MI,hardcore,1
2022,MI,pop,1
2022,MI,reggae rock,1
2022,MI,ska,1
2022,MI,symphonic metal,2
2022,MI,thrash,2
2022,MI,unknown,3
2022,MN,ambient,1
2022,MN,chamber pop,1
2022,MN,comedy,1
2022,MN,death metal,2
2022,MN,dubstep,2
2022,MN,electronic,2
2022,MN,funk,1
2022,MN,indie pop,1
2022,MN,jazz,2
2022,MN,new wave,1
2022,MN,pop,1
2022,MN,punk,1
2022,MN,symphonic metal,1
2022,MN,unknown,3
2022,MO,alternative rock,4
2022,MO,blues,1
2022,MO,electronic,1
2022,MO,grindcore,1
2022,MO,hard rock,1
2022,MO,hardcore,1
2022,MO,pop,1
2022,MO,progressive house,2
2022,MO,satire,1
2022,MO,symphonic metal,2
2022,MO,unknown,5
2022,MS,alternative rock,1
2022,MS,blues,3
2022,MS,contemporary christian,1
2022,MS,country,1
2022,MS,dance,1
2022,MS,folk,1
2022,MS,heavy metal,1
2022,MS,hip-hop,1
2022,MS,indie,1
2022,MS,indie rock,3
2022,MS,jam band,1
2022,MS,rock,1
2022,MS,rockabilly,2
2022,MS,southern rock,1
2022,MS,unknown,1
2022,MT,alternative rock,2
2022,MT,bluegrass,5
2022,MT,country,1
2022,MT,folk,3
2022,MT,funk,1
2022,MT,garage rock,1
2022,MT,indie rock,1
2022,MT,new age,2
2022,MT,pop,1
2022,MT,rock,2
2022,MT,thrash metal,1
2022,NC,acid jazz,1
2022,NC,bluegrass music,2
2022,NC,folk,1
2022,NC,folk rock,1
2022,NC,funk,2
2022,NC,hard rock,2
2022,NC,pop,1
2022,NC,pop punk,1
2022,NC,psychedelic,3
2022,NC,punk rock,1
2022,NC,reggae,1
2022,NC,synth-pop,1
2022,NC,unknown,3
2022,ND,a cappella,1
2022,ND,alternative country,1
2022,ND,alternative rock,1
2022,ND,americana,1
2022,ND,contemporary country,1
2022,ND,country,1
2022,ND,death metal,1
2022,ND,folk,1
2022,ND,hard rock,2
2022,ND,heavy metal,1
2022,ND,lo-fi,1
2022,ND,pop,2
2022,ND,rock,1
2022,ND,thrash metal,2
2022,ND,unknown,3
2022,NE,alternative metal,3
2022,NE,contemporary christian,1
2022,NE,cookbook,1
2022,NE,country,1
2022,NE,death metal,3
2022,NE,hard rock,1
2022,NE,hip hop,1
2022,NE,math rock,1
2022,NE,metal,1
2022,NE,new age,3
2022,NE,post-hardcore,1
2022,NE,rock,1
2022,NE,thrash metal,1
2022,NE,unknown,1
2022,NH,alternative punk,1
2022,NH,alternative rock,1
2022,NH,big band,1
2022,NH,death metal,1
2022,NH,downtempo,1
2022,NH,emo,2
2022,NH,folk,1
2022,NH,funk,1
2022,NH,indie rock,1
2022,NH,metal,1
2022,NH,metalcore,2
2022,NH,post-hardcore,1
2022,NH,punk,1
2022,NH,rock,2
2022,NH,rock opera,1
2022,NH,trip hop,1
2022,NH,unknown,1
2022,NJ,acid,1
2022,NJ,experimental,1
2022,NJ,funk,2
2022,NJ,indie,1
2022,NJ,indie pop,1
2022,NJ,jazz,1
2022,NJ,new wave,1
2022,NJ,pop punk,1
2022,NJ,punk,1
2022,NJ,reggae,1
2022,NJ,rock,2
2022,NJ,rock & roll,1
2022,NJ,salsa,1
2022,NJ,unknown,5
2022,NM,alternative r&b,1
2022,NM,dark electro,1
2022,NM,dark wave,1
2022,NM,folk,1
2022,NM,"folk, world, & country",3
2022,NM,funk,1
2022,NM,groove metal,1
2022,NM,hardcore punk,1
2022,NM,indie pop,1
2022,NM,math rock,1
2022,NM,metal,1
2022,NM,psychedelic,2
2022,NM,punk rock,1
2022,NM,soul,1
2022,NM,thrash metal,1
2022,NM,unknown,2
2022,NV,alternative rock,2
2022,NV,comedy rock,1
2022,NV,contemporary r&b,1
2022,NV,dance,2
2022,NV,dubstep,1
2022,NV,electro,1
2022,NV,electroacoustic,1
2022,NV,electronic,1
2022,NV,hip-hop,2
2022,NV,parody,1
2022,NV,pop,2
2022,NV,reggae,1
2022,NV,rock,1
2022,NV,trance,1
2022,NV,trap edm,1
2022,NV,unknown,1
2022,NY,alternative rock,2
2022,NY,dance,1
2022,NY,dance-pop,1
2022,NY,dance-punk,1
2022,NY,electroclash,1
2022,NY,electronic,1
2022,NY,funk,1
2022,NY,hardcore punk,1
2022,NY,hip hop,1
2022,NY,hyperpop,1
2022,NY,new wave,1
2022,NY,pop,4
2022,NY,rnb,1
2022,NY,rock,2
2022,NY,rock & roll,1
2022,OH,americana,1
2022,OH,black comedy,1
2022,OH,blues rock,2
2022,OH,comedy,1
2022,OH,contemporary country,1
2022,OH,country,1
2022,OH,indie,1
2022,OH,indie rock,1
2022,OH,jam band,2
2022,OH,jazz,1
2022,OH,punk,1
2022,OH,punk rock,1
2022,OH,reggae rock,2
2022,OH,roots reggae,1
2022,OH,symphonic metal,2
2022,OH,unknown,1
2022,OK,comedy,1
2022,OK,contemporary r&b,1
2022,OK,country,3
2022,OK,emo,1
2022,OK,experimental,1
2022,OK,folk,1
2022,OK,hardcore,1
2022,OK,hardcore punk,1
2022,OK,hip hop,1
2022,OK,hip house,1
2022,OK,industrial metal,1
2022,OK,noise rock,1
2022,OK,pop,1
2022,OK,post-punk,1
2022,OK,rock,1
2022,OK,satire,1
2022,OK,thrash metal,1
2022,OK,unknown,1
2022,OR,alternative rock,1
2022,OR,country,1
2022,OR,folk,1
2022,OR,garage punk,1
2022,OR,heavy metal,1
2022,OR,heavy rock,1
2022,OR,house,1
2022,OR,indie pop,1
2022,OR,indie rock,1
2022,OR,lounge,2
2022,OR,pigfuck,1
2022,OR,pop,1
2022,OR,progressive rock,1
2022,OR,punk,1
2022,OR,rock,2
2022,OR,unknown,3
2022,PA,americana,1
2022,PA,bluegrass,1
2022,PA,blues,1
2022,PA,comedy,1
2022,PA,dance,1
2022,PA,emo,2
2022,PA,experimental rock,1
2022,PA,funk,3
2022,PA,hard rock,1
2022,PA,house,1
2022,PA,indie,1
2022,PA,jam band,1
2022,PA,jazz,1
2022,PA,soul,1
2022,PA,unknown,3
2022,RI,alternative,1
2022,RI,alternative folk,1
2022,RI,alternative rock,2
2022,RI,ambient,1
2022,RI,emo,1
2022,RI,experimental,1
2022,RI,experimental rock,1
