artist_name,mbid,unknown_records
Brother Tongue,8f4b71d4-8f7d-4e0c-b0c4-db7037a76c98,2
Jimmie Vaughan & The Tilt-A-Whirl Band,ecf65803-2fd4-4b0b-8629-af70220eeb81,2
John Val,097de7cf-904a-4f0b-9e0a-6982d544971e,2
Litz,ab463f48-cb1e-4fe3-9d3e-0226814ac37b,2
Lucency,4a3522cb-ce57-4805-98be-64ccba4e1022,2
Myron Elkins,a5708af4-9d5f-48e1-a6f3-12b55c68fde1,2
Mike Reed’s Separatist Party,052de971-a156-44a5-aa4e-c16bbb41999b,2
Lux Enormes,a3f02697-a80c-4505-bb38-faccf9d1cd6d,2
Brass Transit,7d18a5ff-645c-4182-ba53-02b1f14115d3,2
Pike vs The Automaton,f7b9b273-deb3-4c26-8a59-62132714dda0,2
Piano Men - Generations,70dce6b7-5bc2-424f-8529-128dbbc6aa79,2
Phantum Sun,b612925d-5aab-458c-a9dc-e92b2d02e85e,2
Pet Rock,6c92cbce-b437-4dfb-b623-720602fc6ddd,2
Pandora’s Box,5c3c2e90-c8dd-4e03-b26d-cdbc40ed50bf,2
Omenkiller,cd8c08a5-c2dc-440a-92a1-281152fb948b,2
Oingo Boingo Former Members,0259d243-9d09-496b-8d57-4b9ea5415af2,2
Cole Larravide,c3466a3e-b595-4eb8-ad40-f921b57bf125,2
Good Morning Guilty,a3658fba-2e0f-42c6-9918-91fcf98b20b6,2
Greg Wheeler and the Poly Mall Cops,2ae78146-7b6b-4d15-8fd6-ff4131e270c3,2
Griffin Sherry,6f935e2d-5f17-408c-a74a-584e9796ef27,2
Guardians of the Jukebox,e7d8b54d-aab1-4fb0-9538-d49047cfd524,2
HeartByrne,81465510-1f51-4440-9e20-bb629ae1b1a6,2
Isaac Burdiss,38373ad6-67fe-4426-82c1-8c8cf532215a,2
Icegrinder,3a31454d-d6f7-4c4f-a121-e493353fa64a,2
Hiding Salem,755ed010-e7b6-4253-a945-ce26c7b138f2,2
Crickets and Cicadas,d0253b92-b385-409e-bd34-bb894022b8c2,2
Cosmic Charlie,d9a0a71f-2e12-4812-8375-2618cf18e2d4,2
Dan & Joe,fd72746f-1704-4ac9-89bc-743c0e1d0779,2
Ghost Affirmation,f4ae1c56-28a9-46a2-bcf2-56015d6066b1,2
Eugene Symphony,09eba4ec-f1b8-4a61-987b-d185d17e542d,2
Diamond Blues,dabef034-48b1-43a4-9750-444700c690cd,2
Acute Effect,98d4fc6d-0ddf-4e65-a91b-3552e125d4c9,2
Your Generation In Concert,edda9154-92fc-4810-9593-cbca5798f1b8,2
(ohlm),00ef6902-afad-4d82-b13f-49aab2e91745,1
Walker Montgomery,a1a61d72-bfa9-4b8f-9468-2048112ea4f7,1
Walt Phelan,434af604-ce84-493a-85c4-914fb12b379f,1
Wax & DJ Hoppa,455bca5c-a40a-41e9-9bca-7345223e02c8,1
Waxling,20114777-bb2c-43ea-8ab2-15cce500043b,1
Weather Warlock,7b4a9120-eeda-4606-a1a8-5ef59c6a21cf,1
West Virginia Symphony Orchestra,c7bb15d5-ae5a-4586-9366-13ab0ab6bb72,1
Why Worry?,f335d458-7251-49eb-90be-de401a1aa95b,1
Will Graley,af619115-5039-4b95-b869-9e01e7cb5b70,1
Will and Crystal Yates,8c893b5d-7947-455f-8a5d-90e4b26f7b2b,1
Wisemary,f86ff0ba-fd11-40f5-bfcd-dc1d33ec8a1e,1
Wolph,dc6dccb4-73dd-4312-a60a-06bb3479d039,1
Wooden Wisdom,4457056b-74eb-4104-a6c4-32eea03e0243,1
XOMG POP!,baeb4156-3606-4fa0-8228-61a776961f1d,1
Archie Hamilton,f40f1e6a-99fb-4efb-b70f-2eda0d1e61df,1
Another Tequila Sunrise,af0083d1-edf3-4646-90bb-996edbfb61e0,1
Annabella’s Bow Wow Wow,5f4a44ab-830e-4cbd-8920-b131dad39221,1
Animonic,8b7e6999-ea8d-4330-b06a-b522dff19470,1
Analog Youth,bddcd6ae-f2b6-4988-9369-c89e91b01137,1
Amy Thornhill & Todd Blalock,f1a2c6ce-60dc-4f2a-a6e3-50f80bdb0220,1
Ames Harding,6cb235a2-2be0-411e-9fcc-01a97595ba50,1
Alterbrap,14521b2a-ff27-4490-89b1-a5802b212fde,1
Alpha Strain,b8eccb85-36d6-4ab8-9d34-3b1a7ae1fa3c,1
All That We Are,809ff1e8-b3da-4189-a611-cf421a116fac,1
Voidspeak,34c76189-b669-4ca3-8c8a-2257aecc0dd6,1
Vitriol,b364254e-66c7-4a4b-8f00-8c1a3ed66b3b,1
Violenteer,8fbe5043-ccda-4d79-8c78-8de8abb5e2df,1
Vinyl Arcade,f13fb1c6-a535-4009-b455-66ba95682ff1,1
Victims Of The System,bfaedc9c-f361-42c0-bbee-b3adde4bbc60,1
Vic Ferrari,add9d31e-c9ce-42f9-8d91-72abe0caa7c8,1
Drusky,b6325973-01da-45d6-8fd0-732fdd704396,1
Drew Parker,310bfb05-9699-421e-b845-6b4d93bbf6d0,1
Draw the Line-Aerosmith Tribute,53f9c590-bc0e-402e-a7e2-4249a9f46894,1
Down East Dead,adc89d4a-8580-49e4-bad5-d75fbe137584,1
Doug Henthorn,2a0433d5-c5d6-46b0-81e0-d9d7c4117fba,1
Dog Sees God,39ad0a63-e02e-4044-b09b-9e8e58936b05,1
Dirrt,3c811c73-4fd1-4eeb-ad6b-cdf34df7ac2a,1
Dinner With Sinners,39f8d68a-3e6b-4a27-9e24-1c3f08280e43,1
Devon Allman and Donavon Frankenreiter,8e1bd31e-34b4-4230-bfb8-c1bdf99c6447,1
Des & the Swagmatics,42e6aa81-3114-4c56-86d3-588ea955179a,1
Derek Lersch,6161a34d-95d4-4755-bc68-5b8abdb62a4d,1
Denounced Disgraced,76a2a340-7f21-4e39-bea0-67763ed6ea34,1
Demon Teeth,7f8f0f32-1672-4634-8f0f-294f34395f69,1
Deep Fried Boy,0eba8312-0aad-4dde-8628-501fbe085e3b,1
Dead Floyd,198382a4-51d3-4f9b-b043-d0260b442d92,1
Days of Grey,65d33724-7a41-44cf-82f5-f269f0edab86,1
Faucetmouth,04a503a5-7382-4ce0-9a9c-9f6b109f19e7,1
False Hydra,6bb7c8f0-f956-4466-80e3-dcaeaf8f661a,1
Falling Doves,70e77abb-efa6-46b7-b4b1-4e99e0264369,1
FUBAR,3dc1d94d-3f48-4dd2-964f-586650ed848d,1
Ethan Timm,a4d9667a-a1b5-48a5-a431-41b59f3a24d7,1
Erin Krebs,87e89df1-1211-42ad-ac87-7c2f3095c2f8,1
Erica Falls,f1e537b8-c559-4a5e-b660-3a0a3f14a77e,1
Eptic × Space Laces,327f37c4-3e6a-4779-8869-81c103e69c32,1
