year,state,genre,genre_detailed,event_count
2022,ID,Hip-Hop/Rap,g-funk,1
2022,ID,Hip-Hop/Rap,hip hop,2
2022,ID,Jazz/Blues,jazz,1
2022,ID,Metal,heavy metal,2
2022,ID,Other/Uncategorized,vocal,1
2022,ID,Pop,pop,2
2022,ID,Punk/Hardcore,emo,1
2022,ID,Rock,indie rock,1
2022,ID,Rock,southern rock,1
2022,IL,Country/Folk/Americana,bluegrass,1
2022,IL,Country/Folk/Americana,folk,1
2022,IL,Electronic/Dance,dance,1
2022,IL,Electronic/Dance,electronic,1
2022,IL,Electronic/Dance,house,1
2022,IL,Hip-Hop/Rap,hip-hop,1
2022,IL,Jazz/Blues,avant-garde jazz,1
2022,IL,Jazz/Blues,jazz-funk,1
2022,IL,Other/Uncategorized,club,1
2022,IL,Pop,indie pop,1
2022,IL,R&B/Soul/Funk,contemporary r&b,2
2022,IL,R&B/Soul/Funk,funktronica,1
2022,IL,Reggae/Ska,dub,1
2022,IL,Rock,alternative rock,2
2022,IL,Rock,jam band,1
2022,IL,Rock,rock,1
2022,IL,Unknown,unknown,2
2022,IN,Comedy/Spoken Word,comedy,6
2022,IN,Country/Folk/Americana,country rock,1
2022,IN,Electronic/Dance,new age,2
2022,IN,Pop,pop rock,1
2022,IN,Rock,alternative rock,4
2022,IN,Rock,classic rock,2
2022,IN,Rock,hard rock,1
2022,IN,Rock,progressive rock,1
2022,IN,Unknown,unknown,2
2022,KS,Country/Folk/Americana,country,2
2022,KS,Country/Folk/Americana,country music,1
2022,KS,Country/Folk/Americana,folk,1
2022,KS,Electronic/Dance,new age,2
2022,KS,Metal,atmospheric black metal,1
2022,KS,Metal,black metal,1
2022,KS,Metal,death metal,2
2022,KS,Metal,thrash metal,1
2022,KS,Punk/Hardcore,pop punk,1
2022,KS,Punk/Hardcore,post-hardcore,1
2022,KS,Rock,alternative rock,1
2022,KS,Rock,experimental rock,1
2022,KS,Rock,hard rock,2
2022,KS,Rock,indie rock,1
2022,KS,Rock,soft rock,1
2022,KS,Unknown,unknown,1
2022,KY,Country/Folk/Americana,country,1
2022,KY,Country/Folk/Americana,country pop,1
2022,KY,Country/Folk/Americana,country rock,1
2022,KY,Electronic/Dance,ambient,1
2022,KY,Electronic/Dance,electro,1
2022,KY,Electronic/Dance,new age,1
2022,KY,Jazz/Blues,country blues,1
2022,KY,Metal,black metal,1
2022,KY,Metal,doom metal,1
2022,KY,Metal,nu metal,1
2022,KY,Metal,post-metal,1
2022,KY,Other/Uncategorized,avant-garde,1
2022,KY,Punk/Hardcore,punk,2
2022,KY,Rock,alternative rock,2
2022,KY,Unknown,unknown,4
2022,LA,Country/Folk/Americana,bluegrass,2
2022,LA,Jazz/Blues,blues,2
2022,LA,Jazz/Blues,jazz,2
2022,LA,Metal,doom metal,1
2022,LA,Metal,thrash metal,1
2022,LA,Punk/Hardcore,punk,1
2022,LA,R&B/Soul/Funk,funk,1
2022,LA,R&B/Soul/Funk,soul,1
2022,LA,Rock,rock,2
2022,LA,Unknown,unknown,7
2022,MA,Country/Folk/Americana,folk,1
2022,MA,Electronic/Dance,rave,2
2022,MA,Jazz/Blues,electric blues,1
2022,MA,Metal,death metal,1
2022,MA,Metal,metal,1
2022,MA,Metal,metalcore,2
2022,MA,Pop,indie pop,1
2022,MA,Pop,pop,1
2022,MA,R&B/Soul/Funk,funk,1
2022,MA,Rock,alternative rock,1
2022,MA,Rock,hard rock,1
2022,MA,Rock,indie,1
2022,MA,Rock,post rock,1
2022,MA,Rock,rock,1
2022,MA,Unknown,unknown,4
2022,MD,Country/Folk/Americana,singer-songwriter,2
2022,MD,Electronic/Dance,electronic,1
2022,MD,Hip-Hop/Rap,hip hop,2
2022,MD,Jazz/Blues,jazz fusion,2
2022,MD,Other/Uncategorized,a cappella,1
2022,MD,Other/Uncategorized,installation art,1
2022,MD,Punk/Hardcore,hardcore,1
2022,MD,Punk/Hardcore,hardcore punk,1
2022,MD,Punk/Hardcore,punk,1
2022,MD,R&B/Soul/Funk,r&b,1
2022,MD,Rock,alternative rock,2
2022,MD,Rock,indie rock,1
2022,MD,Rock,psychedelic,1
2022,MD,Unknown,unknown,3
2022,ME,Country/Folk/Americana,americana,1
2022,ME,Country/Folk/Americana,bluegrass,1
2022,ME,Country/Folk/Americana,country,1
2022,ME,Country/Folk/Americana,folk,1
2022,ME,Electronic/Dance,trip hop,1
2022,ME,Hip-Hop/Rap,east coast hip hop,1
2022,ME,Hip-Hop/Rap,hip-hop,1
2022,ME,Hip-Hop/Rap,rap,1
2022,ME,Jazz/Blues,swing revival,1
2022,ME,Metal,black metal,1
2022,ME,Other/Uncategorized,experimental,1
2022,ME,Punk/Hardcore,hardcore punk,1
2022,ME,Rock,garage rock,1
2022,ME,Rock,indie rock,2
2022,ME,Rock,jam band,1
2022,ME,Rock,psychedelic,1
2022,ME,Rock,rock,1
2022,ME,Rock,rock music,2
2022,MI,Comedy/Spoken Word,comedy,1
2022,MI,Country/Folk/Americana,country,1
2022,MI,Jazz/Blues,blues,2
2022,MI,Metal,symphonic metal,2
2022,MI,Metal,thrash,2
2022,MI,Pop,pop,1
2022,MI,Punk/Hardcore,hardcore,1
2022,MI,Reggae/Ska,reggae rock,1
2022,MI,Reggae/Ska,ska,1
2022,MI,Rock,alternative rock,5
2022,MI,Unknown,unknown,3
2022,MN,Classical,chamber pop,1
2022,MN,Comedy/Spoken Word,comedy,1
2022,MN,Electronic/Dance,ambient,1
2022,MN,Electronic/Dance,dubstep,2
2022,MN,Electronic/Dance,electronic,2
2022,MN,Electronic/Dance,new wave,1
2022,MN,Jazz/Blues,jazz,2
2022,MN,Metal,death metal,2
2022,MN,Metal,symphonic metal,1
2022,MN,Pop,indie pop,1
2022,MN,Pop,pop,1
2022,MN,Punk/Hardcore,punk,1
2022,MN,R&B/Soul/Funk,funk,1
2022,MN,Unknown,unknown,3
2022,MO,Comedy/Spoken Word,satire,1
2022,MO,Electronic/Dance,electronic,1
2022,MO,Electronic/Dance,progressive house,2
2022,MO,Jazz/Blues,blues,1
2022,MO,Metal,grindcore,1
2022,MO,Metal,symphonic metal,2
2022,MO,Pop,pop,1
2022,MO,Punk/Hardcore,hardcore,1
2022,MO,Rock,alternative rock,4
2022,MO,Rock,hard rock,1
2022,MO,Unknown,unknown,5
2022,MS,Christian/Gospel,contemporary christian,1
2022,MS,Country/Folk/Americana,country,1
2022,MS,Country/Folk/Americana,folk,1
2022,MS,Electronic/Dance,dance,1
2022,MS,Hip-Hop/Rap,hip-hop,1
2022,MS,Jazz/Blues,blues,3
2022,MS,Metal,heavy metal,1
2022,MS,Rock,alternative rock,1
2022,MS,Rock,indie,1
2022,MS,Rock,indie rock,3
2022,MS,Rock,jam band,1
2022,MS,Rock,rock,1
2022,MS,Rock,rockabilly,2
2022,MS,Rock,southern rock,1
2022,MS,Unknown,unknown,1
2022,MT,Country/Folk/Americana,bluegrass,5
2022,MT,Country/Folk/Americana,country,1
2022,MT,Country/Folk/Americana,folk,3
2022,MT,Electronic/Dance,new age,2
2022,MT,Metal,thrash metal,1
2022,MT,Pop,pop,1
2022,MT,R&B/Soul/Funk,funk,1
2022,MT,Rock,alternative rock,2
2022,MT,Rock,garage rock,1
2022,MT,Rock,indie rock,1
2022,MT,Rock,rock,2
2022,NC,Country/Folk/Americana,bluegrass music,2
2022,NC,Country/Folk/Americana,folk,1
2022,NC,Country/Folk/Americana,folk rock,1
2022,NC,Electronic/Dance,acid jazz,1
2022,NC,Electronic/Dance,synth-pop,1
2022,NC,Pop,pop,1
2022,NC,Punk/Hardcore,pop punk,1
2022,NC,Punk/Hardcore,punk rock,1
2022,NC,R&B/Soul/Funk,funk,2
2022,NC,Reggae/Ska,reggae,1
2022,NC,Rock,hard rock,2
2022,NC,Rock,psychedelic,3
2022,NC,Unknown,unknown,3
2022,ND,Country/Folk/Americana,alternative country,1
2022,ND,Country/Folk/Americana,americana,1
2022,ND,Country/Folk/Americana,contemporary country,1
2022,ND,Country/Folk/Americana,country,1
2022,ND,Country/Folk/Americana,folk,1
2022,ND,Electronic/Dance,lo-fi,1
2022,ND,Metal,death metal,1
2022,ND,Metal,heavy metal,1
2022,ND,Metal,thrash metal,2
2022,ND,Other/Uncategorized,a cappella,1
2022,ND,Pop,pop,2
2022,ND,Rock,alternative rock,1
2022,ND,Rock,hard rock,2
2022,ND,Rock,rock,1
2022,ND,Unknown,unknown,3
2022,NE,Christian/Gospel,contemporary christian,1
2022,NE,Comedy/Spoken Word,cookbook,1
2022,NE,Country/Folk/Americana,country,1
2022,NE,Electronic/Dance,new age,3
2022,NE,Hip-Hop/Rap,hip hop,1
2022,NE,Metal,alternative metal,3
2022,NE,Metal,death metal,3
2022,NE,Metal,metal,1
2022,NE,Metal,thrash metal,1
2022,NE,Punk/Hardcore,post-hardcore,1
2022,NE,Rock,hard rock,1
2022,NE,Rock,math rock,1
2022,NE,Rock,rock,1
2022,NE,Unknown,unknown,1
2022,NH,Classical,rock opera,1
2022,NH,Country/Folk/Americana,folk,1
2022,NH,Electronic/Dance,downtempo,1
2022,NH,Electronic/Dance,trip hop,1
2022,NH,Jazz/Blues,big band,1
2022,NH,Metal,death metal,1
2022,NH,Metal,metal,1
2022,NH,Metal,metalcore,2
2022,NH,Punk/Hardcore,alternative punk,1
2022,NH,Punk/Hardcore,emo,2
2022,NH,Punk/Hardcore,post-hardcore,1
2022,NH,Punk/Hardcore,punk,1
2022,NH,R&B/Soul/Funk,funk,1
2022,NH,Rock,alternative rock,1
2022,NH,Rock,indie rock,1
2022,NH,Rock,rock,2
2022,NH,Unknown,unknown,1
2022,NJ,Electronic/Dance,new wave,1
2022,NJ,Jazz/Blues,jazz,1
2022,NJ,Other/Uncategorized,acid,1
2022,NJ,Other/Uncategorized,experimental,1
2022,NJ,Pop,indie pop,1
2022,NJ,Punk/Hardcore,pop punk,1
2022,NJ,Punk/Hardcore,punk,1
2022,NJ,R&B/Soul/Funk,funk,2
2022,NJ,Reggae/Ska,reggae,1
2022,NJ,Rock,indie,1
2022,NJ,Rock,rock,2
2022,NJ,Rock,rock & roll,1
2022,NJ,Unknown,unknown,5
2022,NJ,World,salsa,1
2022,NM,Country/Folk/Americana,folk,1
2022,NM,Country/Folk/Americana,"folk, world, & country",3
2022,NM,Electronic/Dance,dark electro,1
2022,NM,Electronic/Dance,dark wave,1
2022,NM,Metal,groove metal,1
2022,NM,Metal,metal,1
2022,NM,Metal,thrash metal,1
2022,NM,Pop,indie pop,1
2022,NM,Punk/Hardcore,hardcore punk,1
2022,NM,Punk/Hardcore,punk rock,1
2022,NM,R&B/Soul/Funk,alternative r&b,1
2022,NM,R&B/Soul/Funk,funk,1
2022,NM,R&B/Soul/Funk,soul,1
2022,NM,Rock,math rock,1
2022,NM,Rock,psychedelic,2
2022,NM,Unknown,unknown,2
2022,NV,Comedy/Spoken Word,comedy rock,1
2022,NV,Comedy/Spoken Word,parody,1
2022,NV,Electronic/Dance,dance,2
2022,NV,Electronic/Dance,dubstep,1
2022,NV,Electronic/Dance,electro,1
2022,NV,Electronic/Dance,electroacoustic,1
2022,NV,Electronic/Dance,electronic,1
2022,NV,Electronic/Dance,trance,1
2022,NV,Hip-Hop/Rap,hip-hop,2
2022,NV,Hip-Hop/Rap,trap edm,1
2022,NV,Pop,pop,2
2022,NV,R&B/Soul/Funk,contemporary r&b,1
2022,NV,Reggae/Ska,reggae,1
2022,NV,Rock,alternative rock,2
2022,NV,Rock,rock,1
2022,NV,Unknown,unknown,1
2022,NY,Electronic/Dance,dance,1
2022,NY,Electronic/Dance,dance-pop,1
2022,NY,Electronic/Dance,electroclash,1
2022,NY,Electronic/Dance,electronic,1
2022,NY,Electronic/Dance,hyperpop,1
2022,NY,Electronic/Dance,new wave,1
2022,NY,Hip-Hop/Rap,hip hop,1
2022,NY,Pop,pop,4
2022,NY,Punk/Hardcore,dance-punk,1
2022,NY,Punk/Hardcore,hardcore punk,1
2022,NY,R&B/Soul/Funk,funk,1
2022,NY,R&B/Soul/Funk,rnb,1
2022,NY,Rock,alternative rock,2
2022,NY,Rock,rock,2
2022,NY,Rock,rock & roll,1
2022,OH,Comedy/Spoken Word,black comedy,1
2022,OH,Comedy/Spoken Word,comedy,1
2022,OH,Country/Folk/Americana,americana,1
2022,OH,Country/Folk/Americana,contemporary country,1
2022,OH,Country/Folk/Americana,country,1
2022,OH,Jazz/Blues,blues rock,2
2022,OH,Jazz/Blues,jazz,1
2022,OH,Metal,symphonic metal,2
2022,OH,Punk/Hardcore,punk,1
2022,OH,Punk/Hardcore,punk rock,1
2022,OH,Reggae/Ska,reggae rock,2
2022,OH,Reggae/Ska,roots reggae,1
2022,OH,Rock,indie,1
2022,OH,Rock,indie rock,1
2022,OH,Rock,jam band,2
2022,OH,Unknown,unknown,1
2022,OK,Comedy/Spoken Word,comedy,1
2022,OK,Comedy/Spoken Word,satire,1
2022,OK,Country/Folk/Americana,country,3
2022,OK,Country/Folk/Americana,folk,1
2022,OK,Electronic/Dance,hip house,1
2022,OK,Hip-Hop/Rap,hip hop,1
2022,OK,Metal,industrial metal,1
2022,OK,Metal,thrash metal,1
2022,OK,Other/Uncategorized,experimental,1
2022,OK,Pop,pop,1
2022,OK,Punk/Hardcore,emo,1
2022,OK,Punk/Hardcore,hardcore,1
2022,OK,Punk/Hardcore,hardcore punk,1
2022,OK,Punk/Hardcore,post-punk,1
2022,OK,R&B/Soul/Funk,contemporary r&b,1
2022,OK,Rock,noise rock,1
2022,OK,Rock,rock,1
2022,OK,Unknown,unknown,1
2022,OR,Country/Folk/Americana,country,1
2022,OR,Country/Folk/Americana,folk,1
2022,OR,Electronic/Dance,house,1
2022,OR,Jazz/Blues,lounge,2
2022,OR,Metal,heavy metal,1
2022,OR,Other/Uncategorized,pigfuck,1
2022,OR,Pop,indie pop,1
2022,OR,Pop,pop,1
2022,OR,Punk/Hardcore,garage punk,1
2022,OR,Punk/Hardcore,punk,1
2022,OR,Rock,alternative rock,1
2022,OR,Rock,heavy rock,1
2022,OR,Rock,indie rock,1
2022,OR,Rock,progressive rock,1
2022,OR,Rock,rock,2
2022,OR,Unknown,unknown,3
2022,PA,Comedy/Spoken Word,comedy,1
2022,PA,Country/Folk/Americana,americana,1
2022,PA,Country/Folk/Americana,bluegrass,1
2022,PA,Electronic/Dance,dance,1
2022,PA,Electronic/Dance,house,1
2022,PA,Jazz/Blues,blues,1
2022,PA,Jazz/Blues,jazz,1
2022,PA,Punk/Hardcore,emo,2
2022,PA,R&B/Soul/Funk,funk,3
2022,PA,R&B/Soul/Funk,soul,1
2022,PA,Rock,experimental rock,1
2022,PA,Rock,hard rock,1
2022,PA,Rock,indie,1
2022,PA,Rock,jam band,1
2022,PA,Unknown,unknown,3
2022,RI,Country/Folk/Americana,alternative folk,1
2022,RI,Country/Folk/Americana,folk,1
2022,RI,Electronic/Dance,ambient,1
2022,RI,Other/Uncategorized,experimental,1
2022,RI,Other/Uncategorized,installation art,1
2022,RI,Pop,pop rock,1
2022,RI,Punk/Hardcore,emo,1
2022,RI,Punk/Hardcore,hardcore,1
2022,RI,Punk/Hardcore,hardcore punk,1
2022,RI,Punk/Hardcore,post-hardcore,1
2022,RI,Rock,alternative,1
2022,RI,Rock,alternative rock,2
2022,RI,Rock,experimental rock,1
2022,RI,Rock,hard rock,1
2022,RI,Rock,indie rock,1
2022,RI,Rock,psychedelic rock,2
2022,RI,Rock,rock music,2
2022,SC,Hip-Hop/Rap,alternative hip hop,1
